Testavimo Laikas;Studentu Kiekis;Studentu generavimo laikas;Sugeneruotu duomenu skaitymo laikas;Rezultatu irasymo laikas;Rezultatu skaitymo laikas;Rezultatu skaidymo laikas;Skaidymo irasymas;Bendras Laikas
2024-11-21 23:35;1000000;8651;3794;1995;1096;227;2153;17916
2024-11-21 23:36;10000000;83129;40669;20429;11466;2651;21742;180086
2024-11-21 23:39;1000000;8276;3820;2043;1101;238;2156;17634
2024-11-21 23:39;10000000;82636;40372;20303;11023;2443;22468;179245
2024-11-21 23:44;1000000;7797;3963;2148;1008;262;2572;17750
2024-11-21 23:44;10000000;80922;40511;22233;10854;2986;22899;180405
2024-11-21 23:47;1000000;8166;4068;2296;1072;248;2311;18161
2024-11-21 23:48;10000000;81599;40302;21942;10783;2701;23050;180377
2024-11-21 23:53;1000000;24562;19717;5212;5016;1597;5727;61831
2024-11-21 23:54;10000000;236342;197670;51666;48291;16147;57532;607648
;;;;;;;;
;;;;;;;;
